asin,price,recorded_at,scraped_at,old_price
B0CNWFDV94,229.99,2025-02-02 19:47:18.099505,2025-02-02 19:47:18.099505,229.99
B0CNWFDV94,229.99,2025-02-02 19:47:21.720562,2025-02-02 19:47:21.720562,229.99
B0CNWFDV94,229.99,2025-02-02 21:14:10.021966,2025-02-02 21:14:10.021966,229.99
B0CNWFDV94,229.99,2025-02-02 21:14:13.447746,2025-02-02 21:14:13.447746,229.99
B0CNXY3XYY,1199.0,2025-02-02 21:14:13.650852,2025-02-02 21:14:13.650852,1199.0
B0CNXY3XYY,1199.0,2025-02-02 21:14:16.669657,2025-02-02 21:14:16.669657,1199.0
B0CP6258QF,499.0,2025-02-02 19:47:21.098261,2025-02-02 19:47:21.098261,499.0
B0CP6258QF,499.0,2025-02-02 19:47:24.547963,2025-02-02 19:47:24.547963,499.0
B0CP6258QF,499.0,2025-02-02 21:14:12.996575,2025-02-02 21:14:12.996575,499.0
B0CP6258QF,499.0,2025-02-02 21:14:16.823539,2025-02-02 21:14:16.823539,499.0
B0CP7V6SYC,529.99,2025-02-02 19:47:19.182544,2025-02-02 19:47:19.182544,529.99
B0CP7V6SYC,529.99,2025-02-02 19:47:22.613682,2025-02-02 19:47:22.613682,529.99
B0CP7V6SYC,529.99,2025-02-02 21:14:11.426923,2025-02-02 21:14:11.426923,529.99
B0CP7V6SYC,529.99,2025-02-02 21:14:14.869614,2025-02-02 21:14:14.869614,529.99
B0CQ2Q1DWN,2099.0,2025-02-02 21:14:15.327973,2025-02-02 21:14:15.327973,2099.0
B0CQ2Q1DWN,2099.0,2025-02-02 21:14:16.979689,2025-02-02 21:14:16.979689,2099.0
B0CQ5JQRTD,329.9,2025-02-02 19:47:18.621996,2025-02-02 19:47:18.621996,329.9
B0CQ5JQRTD,329.9,2025-02-02 19:47:22.152078,2025-02-02 19:47:22.152078,329.9
B0CQ5JQRTD,329.9,2025-02-02 21:14:10.494496,2025-02-02 21:14:10.494496,329.9
B0CQ5JQRTD,329.9,2025-02-02 21:14:13.818443,2025-02-02 21:14:13.818443,329.9
B0CQD9W4D2,559.9,2025-02-02 19:47:21.058611,2025-02-02 19:47:21.058611,559.9
B0CQD9W4D2,559.9,2025-02-02 19:47:24.506108,2025-02-02 19:47:24.506108,559.9
B0CQD9W4D2,559.9,2025-02-02 21:14:11.802442,2025-02-02 21:14:11.802442,559.9
B0CQD9W4D2,559.9,2025-02-02 21:14:15.244457,2025-02-02 21:14:15.244457,559.9
B0CQK8TZCF,29.93,2025-02-03 13:16:17.286753,2025-02-03 13:16:17.286753,29.93
