days_since,predicted_price
1,40.06479999999999
2,40.06479999999999
3,40.06479999999999
4,40.06479999999999
5,40.06479999999999
6,40.06479999999999
7,40.06479999999999
8,40.06479999999999
9,40.06479999999999
10,40.06479999999999
11,40.06479999999999
12,40.06479999999999
13,40.06479999999999
14,40.06479999999999
15,40.06479999999999
16,40.06479999999999
17,40.06479999999999
18,40.06479999999999
19,40.06479999999999
20,40.06479999999999
21,40.06479999999999
22,40.06479999999999
23,40.06479999999999
24,40.06479999999999
25,40.06479999999999
26,40.06479999999999
27,40.06479999999999
28,40.06479999999999
29,40.06479999999999
30,40.06479999999999
